dataset,dataset_label,row_metric,col_metric,correlation
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,wer,wer,1.0
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,wer,cer,0.9394975726500242
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,wer,levenshtein,0.906132090134519
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,cer,pll_score,0.26660851931890595
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,cer,wer,0.9394975726500242
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,cer,cer,1.0
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,cer,levenshtein,0.8975130640441736
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,levenshtein,pll_score,0.5564102814294815
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,levenshtein,wer,0.906132090134519
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,levenshtein,cer,0.8975130640441736
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,levenshtein,levenshtein,1.0
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,pll_score,pll_score,1.0
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,pll_score,wer,0.4475546859223599
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,pll_score,cer,0.6500503267669424
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,pll_score,levenshtein,0.7435784141642835
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,wer,pll_score,0.4475546859223599
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,wer,wer,1.0
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,wer,cer,0.7646899662322987
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,wer,levenshtein,0.662357603333227
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,cer,pll_score,0.6500503267669424
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,cer,wer,0.7646899662322987
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,cer,cer,1.0
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,cer,levenshtein,0.9087204770002183
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,levenshtein,pll_score,0.7435784141642835
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,levenshtein,wer,0.662357603333227
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,levenshtein,cer,0.9087204770002183
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,levenshtein,levenshtein,1.0
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,pll_score,pll_score,1.0
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,pll_score,wer,0.06748009087596164
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,pll_score,cer,-0.012949628374252899
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,pll_score,levenshtein,0.05674435072317137
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,wer,pll_score,0.06748009087596164
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,wer,wer,1.0
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,wer,cer,0.901374574187829
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,wer,levenshtein,0.9018203098829554
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,cer,pll_score,-0.012949628374252899
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,cer,wer,0.901374574187829
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,cer,cer,1.0
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,cer,levenshtein,0.9955856776120089
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,levenshtein,pll_score,0.05674435072317137
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,levenshtein,wer,0.9018203098829554
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,levenshtein,cer,0.9955856776120089
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,levenshtein,levenshtein,1.0
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,pll_score,pll_score,1.0
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,pll_score,wer,0.44196121765385227
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,pll_score,cer,0.3192047500882294
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,pll_score,levenshtein,0.31623066631568236
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,wer,pll_score,0.44196121765385227
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,wer,wer,1.0
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,wer,cer,0.9168037513838937
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,wer,levenshtein,0.916285506859293
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,cer,pll_score,0.3192047500882294
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,cer,wer,0.9168037513838937
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,cer,cer,1.0
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,cer,levenshtein,0.9999787957127388
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,levenshtein,pll_score,0.31623066631568236
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,levenshtein,wer,0.916285506859293
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,levenshtein,cer,0.9999787957127388
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,levenshtein,levenshtein,1.0
parma3122test2,Parma 3122 test 2,pll_score,pll_score,1.0
parma3122test2,Parma 3122 test 2,pll_score,wer,0.013395632403948287
parma3122test2,Parma 3122 test 2,pll_score,cer,0.29755833457707037
parma3122test2,Parma 3122 test 2,pll_score,levenshtein,0.4476137715398327
parma3122test2,Parma 3122 test 2,wer,pll_score,0.013395632403948287
parma3122test2,Parma 3122 test 2,wer,wer,1.0
parma3122test2,Parma 3122 test 2,wer,cer,0.659188796697836
parma3122test2,Parma 3122 test 2,wer,levenshtein,0.3905170411511867
parma3122test2,Parma 3122 test 2,cer,pll_score,0.29755833457707037
parma3122test2,Parma 3122 test 2,cer,wer,0.659188796697836
parma3122test2,Parma 3122 test 2,cer,cer,1.0
parma3122test2,Parma 3122 test 2,cer,levenshtein,0.890616187803492
parma3122test2,Parma 3122 test 2,levenshtein,pll_score,0.4476137715398327
parma3122test2,Parma 3122 test 2,levenshtein,wer,0.3905170411511867
parma3122test2,Parma 3122 test 2,levenshtein,cer,0.890616187803492
parma3122test2,Parma 3122 test 2,levenshtein,levenshtein,1.0
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,pll_score,pll_score,1.0
