dataset,dataset_label,model,model_label,mean_pll,median_pll,std_pll,mean_wer,mean_cer,mean_levenshtein,images
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,sephardi,sephardi,68873.55952419077,99999.0,55929.097666938076,0.6176847593938942,0.21312435221478643,339.3333333333333,3
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,sinai_no_voc_61,sinai no voc 61,68788.10585678775,99999.0,55950.29578960518,0.8500810141394023,0.3870978642034588,601.6666666666666,3
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,vat44,vat44,68947.76116878756,99999.0,55937.636748492914,0.772327492681305,0.3079735771717979,484.0,3
midrashhagadoldvarim,Midrash Hagadol Dvarim,ashkenazy,ashkenazy,6942.24047495336,6942.24047495336,,0.99,0.7361486486486486,2162.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,biblia9,biblia9,7827.557750201435,7827.557750201435,,0.9866666666666667,0.7391891891891892,2176.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,italian_7,italian 7,5155.998052716102,5155.998052716102,,0.9966666666666667,0.7391891891891892,2171.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,prenumeranten,prenumeranten,9946.44578896463,9946.44578896463,,1.0,0.7432432432432432,2199.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,sephardi,sephardi,5966.919917988161,5966.919917988161,,1.0033333333333334,0.739527027027027,2167.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,sinai_no_voc_61,sinai no voc 61,7152.843477729228,7152.843477729228,,0.9883333333333333,0.7344594594594595,2161.0,1
midrashhagadoldvarim,Midrash Hagadol Dvarim,vat44,vat44,8035.559888584015,8035.559888584015,,0.98,0.7388513513513514,2178.0,1
mshuntington115,Bodleian MS Huntington 115,ashkenazy,ashkenazy,15905.588102017246,4957.637857846916,33259.58644228229,0.8092795208294461,0.2969930276130045,469.55555555555554,9
mshuntington115,Bodleian MS Huntington 115,biblia9,biblia9,5157.399653912715,5304.515925149131,403.5464711750374,0.890786737849271,0.32156229020216726,507.55555555555554,9
mshuntington115,Bodleian MS Huntington 115,italian_7,italian 7,15437.416913159796,4808.557040565647,32179.80410075232,0.7952619118964396,0.27081273130159195,426.8888888888889,9
mshuntington115,Bodleian MS Huntington 115,prenumeranten,prenumeranten,5650.316120802632,5737.4455606000265,513.4091744690633,1.0050036863101557,0.6295251412052438,1020.0,9
mshuntington115,Bodleian MS Huntington 115,sephardi,sephardi,15446.617456710354,4810.247229006141,32205.15919347935,0.8279972582124286,0.2808215474969941,443.77777777777777,9
mshuntington115,Bodleian MS Huntington 115,sinai_no_voc_61,sinai no voc 61,15491.336901880622,4744.810397088528,32230.443084643917,0.8462548288100883,0.34266479382380377,540.4444444444445,9
mshuntington115,Bodleian MS Huntington 115,vat44,vat44,5087.154628196887,5197.659305855632,412.6140105688204,0.8005669660767237,0.295051588359566,464.1111111111111,9
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,ashkenazy,ashkenazy,2464.7432677298784,2464.7432677298784,142.20374464456157,0.3797942654999069,0.1428251756748547,102.0,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,biblia9,biblia9,3119.9468738138676,3119.9468738138676,230.24567733509244,1.026764103518898,0.5396589781494907,360.0,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,italian_7,italian 7,2490.0742344744503,2490.0742344744503,301.5475395776926,0.8720675851796686,0.43223203256313153,276.5,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,prenumeranten,prenumeranten,2975.652917649364,2975.652917649364,627.4948245072824,1.2266337739713276,0.7849405641846054,560.5,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,sephardi,sephardi,2507.774612003006,2507.774612003006,93.55957344302077,0.8049013219139824,0.4121909236345963,263.0,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,sinai_no_voc_61,sinai no voc 61,2587.481307528331,2587.481307528331,332.6413033473214,0.9474259914354868,0.513208521496122,345.5,2
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,vat44,vat44,2921.8632054254413,2921.8632054254413,80.63336934252438,0.856684043939676,0.46192665195115534,306.5,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,ashkenazy,ashkenazy,2168.322581794113,2168.322581794113,48.76636636219453,0.9178422152560084,0.43105632597158017,233.5,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,biblia9,biblia9,3083.8187615573406,3083.8187615573406,1.042315123762727,1.150992685475444,0.7967899332306112,438.5,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,italian_7,italian 7,2907.633413994685,2907.633413994685,29.519278446186295,1.3286311389759664,0.8821434685841465,475.0,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,prenumeranten,prenumeranten,2412.9497930705547,2412.9497930705547,94.12103655374908,1.0086206896551724,0.7668207498715973,426.0,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,sephardi,sephardi,2730.7151194522157,2730.7151194522157,55.28015916932644,1.2190438871473355,0.8093391542544085,435.0,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,sinai_no_voc_61,sinai no voc 61,100380.17847830057,100380.17847830057,478.7915250601596,0.9708725182863114,0.6070707070707071,328.0,2
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,vat44,vat44,2952.8355656266212,2952.8355656266212,106.54559327025194,0.9088296760710555,0.7191063174114022,399.0,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,ashkenazy,ashkenazy,8740.890259377658,8740.890259377658,784.8880088056615,0.7669719239395805,0.2765960189248793,852.0,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,biblia9,biblia9,8763.299679726362,8763.299679726362,300.43488834433697,0.9471440126238067,0.4771332968393228,1449.5,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,italian_7,italian 7,8450.81755333906,8450.81755333906,645.513115200824,0.744144618010758,0.2446572589232115,760.0,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,prenumeranten,prenumeranten,8447.431925513316,8447.431925513316,586.1506702116244,0.9915047339274726,0.6033174467821831,1819.5,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,sephardi,sephardi,8481.947467640042,8481.947467640042,559.7221294568129,0.7471814771441615,0.2576211509242534,808.5,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,sinai_no_voc_61,sinai no voc 61,8086.530297409277,8086.530297409277,556.474615334218,0.9298495464560053,0.389927742755782,1184.5,2
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,vat44,vat44,8957.09049622342,8957.09049622342,408.77416645067734,0.9640886445286914,0.4012967590718327,1224.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,ashkenazy,ashkenazy,53948.15270998818,53948.15270998818,65125.732796307006,0.6960511387511557,0.2308368312690249,695.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,biblia9,biblia9,54062.75368244201,54062.75368244201,64963.66254680166,0.9452632574165896,0.47305578258375747,1370.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,italian_7,italian 7,53730.43254662771,53730.43254662771,65433.63560413347,0.6066055971090007,0.18701115830320292,573.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,prenumeranten,prenumeranten,53784.214405675186,53784.214405675186,65357.576569658886,0.9813797377930918,0.600051807091319,1728.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,sephardi,sephardi,53683.872941498645,53683.872941498645,65499.48082916573,0.6166484578536011,0.1893571518349727,592.5,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,sinai_no_voc_61,sinai no voc 61,53725.64211291075,53725.64211291075,65440.41030046564,0.9088263719640306,0.36977400751458034,1086.0,2
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,vat44,vat44,54019.29376567155,54019.29376567155,65025.124150518044,0.9331876628288092,0.3581207296633241,1054.0,2
parma3122test2,Parma 3122 test 2,ashkenazy,ashkenazy,15840.84670794227,15840.84670794227,714.0307165666959,0.9912181847107198,0.7593649652794755,4312.0,2
parma3122test2,Parma 3122 test 2,biblia9,biblia9,16525.453230846208,16525.453230846208,673.1033490683064,0.9887771757603536,0.766066903896758,4346.0,2
parma3122test2,Parma 3122 test 2,italian_7,italian 7,16145.928056496487,16145.928056496487,484.5562736413297,0.997535162653334,0.7759643405085417,4396.5,2
parma3122test2,Parma 3122 test 2,prenumeranten,prenumeranten,19103.068874413497,19103.068874413497,421.72382539634106,0.9945681768964074,0.7681399794032451,4377.5,2
parma3122test2,Parma 3122 test 2,sephardi,sephardi,15130.327752990726,15130.327752990726,551.2109143988422,0.9974875058607342,0.7681059963469071,4352.5,2
parma3122test2,Parma 3122 test 2,sinai_no_voc_61,sinai no voc 61,16943.114364230132,16943.114364230132,551.7205930751292,0.9937306788499856,0.7797396383697968,4425.0,2
parma3122test2,Parma 3122 test 2,vat44,vat44,16049.930729017127,16049.930729017127,339.60932503571655,0.9812396933425563,0.7483953873914166,4252.5,2
printeditionmantoue1544,Print edition Mantoue 1544,ashkenazy,ashkenazy,99999.0,99999.0,,0.9778142974527527,0.7379950928846828,4217.0,1
printeditionmantoue1544,Print edition Mantoue 1544,biblia9,biblia9,99999.0,99999.0,,0.9737058340180772,0.7500876270592359,4289.0,1
printeditionmantoue1544,Print edition Mantoue 1544,italian_7,italian 7,99999.0,99999.0,,0.9720624486442071,0.7406239046617595,4234.0,1
printeditionmantoue1544,Print edition Mantoue 1544,prenumeranten,prenumeranten,99999.0,99999.0,,0.9794576828266228,0.736242551699965,4213.0,1
printeditionmantoue1544,Print edition Mantoue 1544,sephardi,sephardi,99999.0,99999.0,,0.9556285949055053,0.7381703470031545,4218.0,1
printeditionmantoue1544,Print edition Mantoue 1544,sinai_no_voc_61,sinai no voc 61,99999.0,99999.0,,0.9687756778964667,0.7336137399228881,4201.0,1
printeditionmantoue1544,Print edition Mantoue 1544,vat44,vat44,105014.51928437594,105014.51928437594,,0.9778142974527527,0.7485103399929899,4278.0,1
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,ashkenazy,ashkenazy,4857.517859333893,4857.517859333893,173.2239368189596,0.4826742160278746,0.1340424337493945,239.0,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,biblia9,biblia9,5320.40849378705,5320.40849378705,184.9996045942142,0.6888937282229965,0.2137823072950249,380.5,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,italian_7,italian 7,4762.521205752506,4762.521205752506,157.771508207285,0.24804878048780488,0.0700472840539821,123.5,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,prenumeranten,prenumeranten,6144.069134263555,6144.069134263555,129.62232117449585,0.9899041811846689,0.6356053096720591,1140.0,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,sephardi,sephardi,4672.994690315216,4672.994690315216,136.05959570594692,0.5250609756097561,0.14628929243936317,262.0,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,sinai_no_voc_61,sinai no voc 61,5343.8136141598225,5343.8136141598225,140.9733571118531,0.8350174216027875,0.3281205390510469,579.5,2
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,vat44,vat44,5361.615842809668,5361.615842809668,23.98154787514008,0.6976655052264809,0.19910083308472315,352.5,2
vat44,Vat 44,ashkenazy,ashkenazy,99999.0,99999.0,,0.6898550724637681,0.32158590308370044,509.0,12
vat44,Vat 44,biblia9,biblia9,99999.0,99999.0,,0.7768115942028986,0.34235368156073004,557.0,12
vat44,Vat 44,italian_7,italian 7,99999.0,99999.0,,0.6231884057971014,0.25739458779106356,410.0,12
vat44,Vat 44,prenumeranten,prenumeranten,99999.0,99999.0,,0.9826086956521739,0.6702328508495909,1065.0,12
vat44,Vat 44,sephardi,sephardi,99999.0,99999.0,,0.4985507246376812,0.17747010698552548,281.0,12
vat44,Vat 44,sinai_no_voc_61,sinai no voc 61,99999.0,99999.0,,0.7710144927536232,0.3536815607300189,560.0,12
vat44,Vat 44,vat44,vat44,99999.0,99999.0,,0.7478260869565218,0.3146633102580239,512.0,12
vatebr34,Vat Ebr 34,ashkenazy,ashkenazy,5834.867300580918,5637.606372700655,513.8868310609703,0.9910038460152379,0.753027182865948,1375.3333333333333,7
vatebr34,Vat Ebr 34,biblia9,biblia9,7266.8984947175095,7362.542798525188,362.63770816179675,0.9946216970978199,0.7750557798476164,1427.0,7
vatebr34,Vat Ebr 34,italian_7,italian 7,5588.225455748165,5497.00671864656,385.51199756584055,0.9941859381953537,0.7507966805007359,1375.6666666666667,7
vatebr34,Vat Ebr 34,prenumeranten,prenumeranten,7845.64880172002,7909.6374754530625,276.3106214952855,0.994203398772246,0.8292392202322052,1540.8333333333333,7
vatebr34,Vat Ebr 34,sephardi,sephardi,6558.582107076237,6619.814199469518,300.6173584380249,0.9984053471071732,0.7650524596100851,1393.0,7
vatebr34,Vat Ebr 34,sinai_no_voc_61,sinai no voc 61,6718.01035504881,6721.561070803917,216.763298484946,0.9905957587069197,0.7591273205882731,1397.5,7
vatebr34,Vat Ebr 34,vat44,vat44,7151.706677549829,7139.784140203148,437.38983785266737,0.9830750457441869,0.7702302978713346,1417.0,7
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,ashkenazy,ashkenazy,6104.030254561454,6104.030254561454,353.1294711003365,0.9900209659257047,0.7541033973205831,1403.5,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,biblia9,biblia9,7388.675990633201,7388.675990633201,276.8329245729891,0.9912932305567479,0.7776222683658942,1453.5,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,italian_7,italian 7,5517.140363701386,5517.140363701386,89.62703350992092,0.9862041720325749,0.7513976208369229,1400.0,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,prenumeranten,prenumeranten,8431.25920133706,8431.25920133706,107.92340933524206,0.9950602537063651,0.8290420591133607,1569.5,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,sephardi,sephardi,6569.516431614989,6569.516431614989,22.913028078048974,0.9900209659257047,0.7627383156279539,1417.5,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,sinai_no_voc_61,sinai no voc 61,6619.560372529551,6619.560372529551,141.6339742780392,0.9875759781506437,0.7602607844831575,1420.0,2
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,vat44,vat44,7213.314260538667,7213.314260538667,182.8320093132612,0.9875262074071309,0.7681411402840368,1433.0,2
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,ashkenazy,ashkenazy,3651.4728720780695,3651.4728720780695,342.8066110228531,0.3934670721721839,0.10350078467272608,168.5,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,biblia9,biblia9,2035.4306960905524,2035.4306960905524,21.89570751365411,0.017126759465044643,0.004449748250833715,7.5,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,italian_7,italian 7,3575.6164002052974,3575.6164002052974,440.2296402211388,0.38018579171053146,0.09423837703524487,152.0,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,prenumeranten,prenumeranten,5586.800520577817,5586.800520577817,295.75009277627163,1.0285023589503646,0.5843057281109004,933.5,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,sephardi,sephardi,3549.6751238661964,3549.6751238661964,354.5016045319808,0.3805220883534136,0.0923764140456418,151.0,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,sinai_no_voc_61,sinai no voc 61,4272.852416133377,4272.852416133377,590.2461083245458,0.6195753889343782,0.2278444386320539,362.5,10
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,vat44,vat44,2944.781623149689,2944.781623149689,179.83207508847005,0.3065027098686006,0.06921303864513176,108.0,10
vaybertaytshexperiment,Vayber Taytsh experiment,ashkenazy,ashkenazy,102986.05126181245,102986.05126181245,4023.710757769177,0.8750706904529331,0.2918739158822722,551.5,2
vaybertaytshexperiment,Vayber Taytsh experiment,biblia9,biblia9,105727.96013723128,105727.96013723128,342.89290491200524,0.8317236719375427,0.2982390705520699,568.5,2
vaybertaytshexperiment,Vayber Taytsh experiment,italian_7,italian 7,102844.93969691661,102844.93969691661,3818.0679377670317,0.8492145097203962,0.25957540415348446,482.0,2
vaybertaytshexperiment,Vayber Taytsh experiment,prenumeranten,prenumeranten,103143.28811056912,103143.28811056912,4221.047603116659,0.9037544893027902,0.37038701776902233,724.5,2
vaybertaytshexperiment,Vayber Taytsh experiment,sephardi,sephardi,103138.81014646776,103138.81014646776,4190.8908368281045,0.9752565053577855,0.2991184143788689,562.0,2
vaybertaytshexperiment,Vayber Taytsh experiment,sinai_no_voc_61,sinai no voc 61,102432.52004388138,102432.52004388138,3279.928692470599,0.36360598426816104,0.10170782694468652,193.5,2
vaybertaytshexperiment,Vayber Taytsh experiment,vat44,vat44,103349.77692082897,103349.77692082897,4490.219173301928,0.9146536718640981,0.3768183053716194,712.5,2
