variant,variant_description,dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,levenshtein,cer,0.9956134501861159
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,pll_score,wer,0.7169072660006279
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,pll_score,cer,0.4529141482158572
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,pll_score,levenshtein,0.44609896589884823
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,wer,pll_score,0.7169072660006279
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,wer,cer,0.8945628393964934
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,wer,levenshtein,0.8975505361914954
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,cer,pll_score,0.4529141482158572
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,cer,wer,0.8945628393964934
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,cer,levenshtein,0.9986354684089069
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,levenshtein,pll_score,0.44609896589884823
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,levenshtein,wer,0.8975505361914954
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,levenshtein,cer,0.9986354684089069
base_valid_all_pages,Base-valid rows before removing diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,pll_score,wer,-0.07196282274283637
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,pll_score,cer,-0.28371081961467376
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,pll_score,levenshtein,-0.28115841441982886
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,wer,pll_score,-0.07196282274283637
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,wer,cer,0.9369721986621306
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,wer,levenshtein,0.9393305032868502
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,cer,pll_score,-0.28371081961467376
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,cer,wer,0.9369721986621306
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,cer,levenshtein,0.9999623908751966
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,levenshtein,pll_score,-0.28115841441982886
