dataset,dataset_label,image,image_stem,model,model_label,line_index,page_pll_score,pll_score,wer,cer,levenshtein,gt_chars,pred_chars,char_ratio,line_weighted_wc,line_mean_wc,page_weighted_wc,page_len_ratio,page_line_ratio,gt_lines,pred_lines,score_candidate,pll_per_pred_char,pll_per_gt_char,pll_per_char_mean,base_valid,line_quality,line_high_confidence,selected_run
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,4,5143.6186387352645,,0.6470588235294118,0.2777777777777778,20.0,72,61,0.8472222222222222,0.9339836734693876,0.951592857142857,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,5,5143.6186387352645,,0.8461538461538461,0.2727272727272727,18.0,66,62,0.9393939393939394,0.9636980769230769,0.9632916666666668,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,6,5143.6186387352645,,1.0,0.373134328358209,25.0,67,62,0.9253731343283582,0.956933962264151,0.9642,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,7,5143.6186387352645,,0.6153846153846154,0.1967213114754098,13.0,63,61,0.9682539682539684,0.939023076923077,0.9169909090909092,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,8,5143.6186387352645,,0.6428571428571429,0.2786885245901639,17.0,61,56,0.918032786885246,0.9682866666666666,0.9709416666666668,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,9,5143.6186387352645,,0.9375,0.3188405797101449,22.0,69,61,0.8840579710144928,0.9333269230769232,0.9221090909090908,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,10,5143.6186387352645,,0.7857142857142857,0.208955223880597,14.0,67,60,0.8955223880597015,0.963346,0.962690909090909,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,11,5143.6186387352645,,0.7142857142857143,0.2424242424242424,16.0,66,60,0.9090909090909092,0.973738,0.9784666666666668,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,12,5143.6186387352645,,0.9285714285714286,0.34375,23.0,65,54,0.8307692307692308,0.965255319148936,0.9668111111111112,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,13,5143.6186387352645,,0.9090909090909092,0.2741935483870967,17.0,62,57,0.9193548387096774,0.952792,0.9622,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,14,5143.6186387352645,,0.7142857142857143,0.2666666666666666,16.0,60,57,0.95,0.9446382978723404,0.9471545454545454,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,15,5143.6186387352645,,0.9285714285714286,0.25,15.0,60,56,0.9333333333333332,0.967695744680851,0.96566,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
